label,pattern
shape_term,acicular
shape_term,actinomorphic
shape_term,acuminate
shape_term,acute
shape_term,acutifolius
shape_term,alate
shape_term,amentiform
shape_term,amplexicaul
shape_term,ampulliform
shape_term,angular
shape_term,angular-orbiculate
shape_term,angulate
shape_term,antrorsed
shape_term,apiculate
shape_term,arched
shape_term,arcuate
shape_term,aristate
shape_term,asymmetrical
shape_term,attenuate
shape_term,auricle
shape_term,auriculate
shape_term,baculiform
shape_term,biconvex
shape_term,bifid
shape_term,bifoliate
shape_term,bifoliolate
shape_term,bifusiform
shape_term,bigeminate
shape_term,bilabiate
shape_term,bilateral
shape_term,bilobate
shape_term,bipinnate
shape_term,bipinnatisect
shape_term,biternate
shape_term,bowl-shaped
shape_term,bowlshaped
shape_term,branched
shape_term,broad-based
shape_term,bullate
shape_term,c-curved
shape_term,calcarate
shape_term,calceolate
shape_term,campanulate
shape_term,capitate
shape_term,capitulate
shape_term,cat's claw
shape_term,cat's-claw
shape_term,cats-claw
shape_term,caudate
shape_term,chaffy
shape_term,circular
shape_term,cirrate
shape_term,cirrus
shape_term,clavate
shape_term,colliculate
shape_term,compressed-obovoid
shape_term,compressed-ovoid
shape_term,concave
shape_term,conelike
shape_term,confluent
shape_term,connate-perfoliate
shape_term,contracted
shape_term,convex
shape_term,cordate
shape_term,cordiform
shape_term,coronate
shape_term,craspedial
shape_term,crateriform
shape_term,cross-venulate
shape_term,cruciform
shape_term,cultrate
shape_term,cuneate
shape_term,cup-shaped
shape_term,cupshaped
shape_term,cupular
shape_term,cupulate
shape_term,curved
shape_term,cushion-shaped
shape_term,cuspidate
shape_term,cyanthiform
shape_term,cylindric
shape_term,cylindrical
shape_term,cymbiform
shape_term,decurved
shape_term,deltate
shape_term,deltate-triangular
shape_term,deltoid
shape_term,depressed-deltate
shape_term,digitate
shape_term,dilated
shape_term,diplostemonous
shape_term,discoid
shape_term,ellipsoid
shape_term,ellipsoidal
shape_term,elliptic
shape_term,elliptic-oblanceolate
shape_term,elongate
shape_term,elongate-ovate
shape_term,emarginate
shape_term,ensate
shape_term,ensiform
shape_term,even-pinnate
shape_term,falcate
shape_term,fasciculate
shape_term,fenestrate
shape_term,filiform
shape_term,flabelliorm
shape_term,flagelliform
shape_term,foliate
shape_term,funicular
shape_term,funiform
shape_term,funnel-shaped
shape_term,funnelform
shape_term,funnelshaped
shape_term,fused
shape_term,fusiform
shape_term,galeate
shape_term,geminate
shape_term,gland-tipped
shape_term,glandular-capitate
shape_term,globose
shape_term,grooved
shape_term,haplostemonous
shape_term,hastate
shape_term,hemispheric
shape_term,hippocrepiform
shape_term,imparipinnate
shape_term,incised
shape_term,incurved
shape_term,incurved-ascending
shape_term,inequilateral
shape_term,inert
shape_term,infundibular
shape_term,irregular
shape_term,keeled
shape_term,labiate
shape_term,labriform
shape_term,laciniate
shape_term,laminar
shape_term,lance-attenuate
shape_term,lance-elliptic
shape_term,lance-linear
shape_term,lanceolate
shape_term,ligulate
shape_term,liguliform
shape_term,linear
shape_term,linear-attenuate
shape_term,linear-oblong
shape_term,longitudinal
shape_term,lorate
shape_term,low-bullate
shape_term,lyrate
shape_term,monosymmetric
shape_term,monosymmetrical
shape_term,moriform
shape_term,mounded
shape_term,mucronate
shape_term,mucronulate
shape_term,multicostate
shape_term,multifid
shape_term,multifoliolate
shape_term,navicular
shape_term,no lobes
shape_term,obconic
shape_term,obcordate
shape_term,obese
shape_term,oblanceolate
shape_term,oblique
shape_term,oblong
shape_term,oblong-elliptic
shape_term,oblong-terete
shape_term,obovate
shape_term,obovoid
shape_term,obtriangular
shape_term,obtusangulate
shape_term,obtuse
shape_term,obtuse-apiculate
shape_term,octagonal
shape_term,octagonate
shape_term,odd-pinnate
shape_term,orbicular
shape_term,orbicular-ovate
shape_term,orbiculate
shape_term,oval
shape_term,ovate
shape_term,ovate-acuminate
shape_term,ovate-angulate
shape_term,ovoid
shape_term,ovoid-ellipsoid
shape_term,paleaceous
shape_term,palmatifid
shape_term,palmatiite
shape_term,palmatipartite
shape_term,palmatisect
shape_term,pandurate
shape_term,papilionaceous
shape_term,pappiform
shape_term,paripinnate
shape_term,patelliform
shape_term,pedate
shape_term,pedicellate
shape_term,peltate
shape_term,pendulous
shape_term,pentagonal
shape_term,pentangular
shape_term,pentangulate
shape_term,perfoliate
shape_term,perforate
shape_term,pinnate
shape_term,pinnatifid
shape_term,pinnatiite
shape_term,pinnatipartite
shape_term,pinnatisect
shape_term,plain
shape_term,plane
shape_term,plano-compressed
shape_term,planocompressed
shape_term,plumose
shape_term,plumpy
shape_term,pluripinnate
shape_term,polygonal
shape_term,polygonal - angulate
shape_term,polygonal-angulate
shape_term,pseudoracemose
shape_term,pulvinate
shape_term,pyriform
shape_term,quadagonal
shape_term,quadagulate
shape_term,quadanguar
shape_term,quadilateral
shape_term,rectangular
shape_term,recurved
shape_term,recurving
shape_term,refracted
shape_term,regular
shape_term,reniform
shape_term,reniform-angulate
shape_term,retrorse
shape_term,retuse
shape_term,rhombic
shape_term,rhombic-oblong
shape_term,rhombic-obovoid-lentiform
shape_term,rhomboic
shape_term,rhomboid
shape_term,rhomboidal
shape_term,rosette
shape_term,rosettes
shape_term,rotate
shape_term,rotund
shape_term,round
shape_term,rounded
shape_term,roundish
shape_term,s-curved
shape_term,saccate
shape_term,sagittate
shape_term,salverform
shape_term,saucer-like
shape_term,saucer-shaped
shape_term,saucerlike
shape_term,saucershaped
shape_term,sausage-shaped
shape_term,scapiform
shape_term,semiamplexicaul
shape_term,semicircular
shape_term,semicordate
shape_term,semisagittate
shape_term,semiterete
shape_term,semitriangular
shape_term,septagonal
shape_term,septagonate
shape_term,septate
shape_term,setiform
shape_term,setose-cilliate
shape_term,sextagonal
shape_term,sextagonate
shape_term,short-stipitate
shape_term,slender
shape_term,spathulate
shape_term,spatulate
shape_term,spear-shaped
shape_term,spearshaped
shape_term,spheric
shape_term,spicate
shape_term,spiculate
shape_term,spikelike
shape_term,squamiform
shape_term,square
shape_term,stalked
shape_term,stellate
shape_term,stellate-lepidote
shape_term,stellately
shape_term,stelliate
shape_term,stelliform
shape_term,stipitate glandular
shape_term,straight
shape_term,styliform
shape_term,subacute
shape_term,subalternate
shape_term,subcordate
shape_term,subcylindric
shape_term,subcylindrical
shape_term,subdecurved
shape_term,subequilateral
shape_term,subglobose
shape_term,subincurved
shape_term,sublobulate
shape_term,submoriform
shape_term,subobtuse
shape_term,suborbicular
shape_term,suborbiculate
shape_term,subovoid
shape_term,subpeltate
shape_term,subreniform
shape_term,subrhombic
shape_term,subterete
shape_term,subulate
shape_term,sulcate
shape_term,supervolute
shape_term,sword-shaped
shape_term,swordshaped
shape_term,symmetric
shape_term,tapering
shape_term,terete
shape_term,ternate
shape_term,tragacanthoid
shape_term,trapezoid
shape_term,triagonal
shape_term,triangular
shape_term,triangulate
shape_term,trifid
shape_term,trifoliate
shape_term,trifoliolate
shape_term,trilobed
shape_term,trinifoliate
shape_term,tripinnate
shape_term,trullate
shape_term,trumpet-shaped
shape_term,truncate
